count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus,freq
162,2019/11/24 23:30:40.999,8.693962,47.61124,478.3647,1,0,0,0.01662954
163,2019/11/24 23:30:41.15,8.693962,47.61124,478.3647,1,0,0,0.01662954
164,2019/11/24 23:30:41.31,8.693962,47.61124,478.3647,1,0,0,0.01662954
165,2019/11/24 23:30:41.47,8.612265,47.13313,478.54,1,0,0,0.01662954
166,2019/11/24 23:30:41.65,8.612265,47.13313,478.54,1,0,0,0.01662954
167,2019/11/24 23:30:41.81,8.612265,47.13313,478.54,1,0,0,0.01662954
168,2019/11/24 23:30:41.98,8.419885,46.90191,478.7064,1,0,0,0.01662954
169,2019/11/24 23:30:41.114,8.419885,46.90191,478.7064,1,0,0,0.01662954
170,2019/11/24 23:30:41.131,8.419885,46.90191,478.7064,1,0,0,0.01662954
171,2019/11/24 23:30:41.147,8.647585,46.9101,478.76,1,0,0,0.01662954
172,2019/11/24 23:30:41.165,8.647585,46.9101,478.76,1,0,0,0.01662954
173,2019/11/24 23:30:41.182,8.692134,47.35157,478.6864,1,0,0,0.01662954
174,2019/11/24 23:30:41.197,8.692134,47.35157,478.6864,1,0,0,0.01662954
175,2019/11/24 23:30:41.213,8.692134,47.35157,478.6864,1,0,0,0.01662954
176,2019/11/24 23:30:41.230,8.953003,47.52913,478.5491,1,0,0,0.01662954
177,2019/11/24 23:30:41.246,8.953003,47.52913,478.5491,1,0,0,0.01662954
178,2019/11/24 23:30:41.263,8.953003,47.52913,478.5491,1,0,0,0.01662954
179,2019/11/24 23:30:41.280,8.951097,47.59088,478.5072,1,0,0,0.01662954
180,2019/11/24 23:30:41.297,8.951097,47.59088,478.5072,1,0,0,0.01662954
181,2019/11/24 23:30:41.313,8.951097,47.59088,478.5072,1,0,0,0.01662954
182,2019/11/24 23:30:41.329,8.951097,47.59088,478.5072,1,0,0,0.01662954
183,2019/11/24 23:30:41.346,8.575853,47.84934,478.3071,1,0,0,0.01662954
184,2019/11/24 23:30:41.363,8.575853,47.84934,478.3071,1,0,0,0.01662954
185,2019/11/24 23:30:41.380,8.575853,47.84934,478.3071,1,0,0,0.01662954
186,2019/11/24 23:30:41.396,8.291259,47.99707,478.1446,1,0,0,0.01662954
187,2019/11/24 23:30:41.412,8.291259,47.99707,478.1446,1,0,0,0.01662954
188,2019/11/24 23:30:41.429,8.291259,47.99707,478.1446,1,0,0,0.01662954
189,2019/11/24 23:30:41.446,8.077223,48.22077,477.8157,1,0,0,0.01662954
190,2019/11/24 23:30:41.463,8.077223,48.22077,477.8157,1,0,0,0.01662954
191,2019/11/24 23:30:41.479,8.077223,48.22077,477.8157,1,0,0,0.01662954
192,2019/11/24 23:30:41.496,8.084829,48.25616,477.4846,1,0,0,0.01662954
193,2019/11/24 23:30:41.512,8.084829,48.25616,477.4846,1,0,0,0.01662954
194,2019/11/24 23:30:41.529,8.084829,48.25616,477.4846,1,0,0,0.01662954
195,2019/11/24 23:30:41.546,8.03449,48.27765,477.1628,1,0,0,0.01662954
196,2019/11/24 23:30:41.563,8.03449,48.27765,477.1628,1,0,0,0.01662954
197,2019/11/24 23:30:41.579,8.03449,48.27765,477.1628,1,0,0,0.01662954
198,2019/11/24 23:30:41.595,7.871902,48.11848,477.0045,1,0,0,0.01662954
199,2019/11/24 23:30:41.611,7.871902,48.11848,477.0045,1,0,0,0.01662954
200,2019/11/24 23:30:41.628,7.772602,48.21325,476.696,1,0,0,0.01662954
201,2019/11/24 23:30:41.644,7.772602,48.21325,476.696,1,0,0,0.01662954
202,2019/11/24 23:30:41.661,7.772602,48.21325,476.696,1,0,0,0.01662954
203,2019/11/24 23:30:41.678,7.508607,48.10668,476.6275,1,0,0,0.01662954
204,2019/11/24 23:30:41.695,7.508607,48.10668,476.6275,1,0,0,0.01662954
205,2019/11/24 23:30:41.711,7.508607,48.10668,476.6275,1,0,0,0.01662954
206,2019/11/24 23:30:41.727,7.508607,48.10668,476.6275,1,0,0,0.01662954
207,2019/11/24 23:30:41.744,7.021951,48.22808,476.4589,1,0,0,0.01662954
208,2019/11/24 23:30:41.761,7.021951,48.22808,476.4589,1,0,0,0.01662954
209,2019/11/24 23:30:41.777,7.021951,48.22808,476.4589,1,0,0,0.01662954
210,2019/11/24 23:30:41.794,6.707345,48.30379,476.3708,1,0,0,0.01662954
211,2019/11/24 23:30:41.810,6.707345,48.30379,476.3708,1,0,0,0.01662954
212,2019/11/24 23:30:41.826,6.707345,48.30379,476.3708,1,0,0,0.01662954
213,2019/11/24 23:30:41.844,6.506843,48.37619,476.2571,1,0,0,0.01662954
214,2019/11/24 23:30:41.860,6.506843,48.37619,476.2571,1,0,0,0.01662954
215,2019/11/24 23:30:41.876,6.506843,48.37619,476.2571,1,0,0,0.01662954
216,2019/11/24 23:30:41.893,6.535179,48.24513,476.1747,1,0,0,0.01662954
217,2019/11/24 23:30:41.909,6.535179,48.24513,476.1747,1,0,0,0.01662954
218,2019/11/24 23:30:41.926,6.535179,48.24513,476.1747,1,0,0,0.01662954
219,2019/11/24 23:30:41.943,6.74076,48.12097,476.1458,1,0,0,0.01662954
