count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus,freq
141,2019/11/24 23:27:37.252,-3.604531,61.5841,590.2201,1,0,0,100
142,2019/11/24 23:27:37.268,-3.763494,61.79258,590.1002,1,0,0,100
143,2019/11/24 23:27:37.285,-3.989152,62.30667,590.1812,1,0,0,100
144,2019/11/24 23:27:37.301,-3.989152,62.30667,590.1812,1,0,0,100
145,2019/11/24 23:27:37.318,-3.989152,62.30667,590.1812,1,0,0,100
146,2019/11/24 23:27:37.334,-4.130856,62.86493,590.2798,1,0,0,100
147,2019/11/24 23:27:37.351,-3.989762,63.16459,590.1464,1,0,0,100
148,2019/11/24 23:27:37.368,-3.989762,63.16459,590.1464,1,0,0,100
149,2019/11/24 23:27:37.384,-3.989762,63.16459,590.1464,1,0,0,100
150,2019/11/24 23:27:37.403,-3.798998,63.38242,590.1868,1,0,0,100
151,2019/11/24 23:27:37.419,-3.760966,63.92147,590.238,1,0,0,100
152,2019/11/24 23:27:37.436,-3.760966,63.92147,590.238,1,0,0,100
153,2019/11/24 23:27:37.453,-3.766423,64.4361,590.1784,1,0,0,100
154,2019/11/24 23:27:37.469,-3.766423,64.4361,590.1784,1,0,0,100
155,2019/11/24 23:27:37.486,-3.654716,64.14913,590.3164,1,0,0,100
156,2019/11/24 23:27:37.502,-3.654716,64.14913,590.3164,1,0,0,100
157,2019/11/24 23:27:37.519,-3.000143,63.82072,590.3955,1,0,0,100
158,2019/11/24 23:27:37.536,-2.443907,63.75619,590.5728,1,0,0,100
159,2019/11/24 23:27:37.552,-2.443907,63.75619,590.5728,1,0,0,100
160,2019/11/24 23:27:37.568,-2.443907,63.75619,590.5728,1,0,0,100
161,2019/11/24 23:27:37.584,-3.009859,64.54298,590.4281,1,0,0,100
162,2019/11/24 23:27:37.601,-3.009859,64.54298,590.4281,1,0,0,100
163,2019/11/24 23:27:37.618,-3.009859,64.54298,590.4281,1,0,0,100
164,2019/11/24 23:27:37.634,-3.250567,64.90456,590.2984,1,0,0,100
165,2019/11/24 23:27:37.651,-3.250567,64.90456,590.2984,1,0,0,100
166,2019/11/24 23:27:37.668,-3.297576,64.95375,590.396,1,0,0,100
167,2019/11/24 23:27:37.685,-3.860756,65.77123,590.3067,1,0,0,100
168,2019/11/24 23:27:37.701,-3.860756,65.77123,590.3067,1,0,0,100
169,2019/11/24 23:27:37.718,-3.860756,65.77123,590.3067,1,0,0,100
170,2019/11/24 23:27:37.734,-4.204327,66.31854,590.1245,1,0,0,100
171,2019/11/24 23:27:37.751,-4.564275,66.72366,590.0919,1,0,0,100
172,2019/11/24 23:27:37.768,-4.564275,66.72366,590.0919,1,0,0,100
173,2019/11/24 23:27:37.783,-4.564275,66.72366,590.0919,1,0,0,100
174,2019/11/24 23:27:37.800,-4.522666,67.52934,590.2512,1,0,0,100
175,2019/11/24 23:27:37.817,-4.253404,68.04971,589.9138,1,0,0,100
176,2019/11/24 23:27:37.833,-4.253404,68.04971,589.9138,1,0,0,100
177,2019/11/24 23:27:37.850,-4.22763,68.02288,589.7555,1,0,0,100
178,2019/11/24 23:27:37.867,-4.22763,68.02288,589.7555,1,0,0,100
179,2019/11/24 23:27:37.884,-3.913378,67.65849,589.6671,1,0,0,100
180,2019/11/24 23:27:37.900,-3.913378,67.65849,589.6671,1,0,0,100
181,2019/11/24 23:27:37.916,-4.061324,67.77298,589.6187,1,0,0,100
182,2019/11/24 23:27:37.932,-4.061324,67.77298,589.6187,1,0,0,100
183,2019/11/24 23:27:37.949,-4.041629,67.45249,589.7169,1,0,0,100
184,2019/11/24 23:27:37.966,-4.041629,67.45249,589.7169,1,0,0,100
185,2019/11/24 23:27:37.982,-3.929681,67.04224,589.6336,1,0,0,100
186,2019/11/24 23:27:37.999,-3.929681,67.04224,589.6336,1,0,0,100
187,2019/11/24 23:27:38.16,-3.628161,65.78844,589.7355,1,0,0,100
188,2019/11/24 23:27:38.32,-3.628161,65.78844,589.7355,1,0,0,100
189,2019/11/24 23:27:38.49,-3.628161,65.78844,589.7355,1,0,0,100
190,2019/11/24 23:27:38.66,-3.293801,63.39257,589.9007,1,0,0,100
191,2019/11/24 23:27:38.82,-2.917804,60.67508,590.3016,1,0,0,100
192,2019/11/24 23:27:38.99,-2.917804,60.67508,590.3016,1,0,0,100
193,2019/11/24 23:27:38.114,-2.917804,60.67508,590.3016,1,0,0,100
194,2019/11/24 23:27:38.131,-2.978443,58.94516,590.3469,1,0,0,100
195,2019/11/24 23:27:38.148,-2.978443,58.94516,590.3469,1,0,0,100
196,2019/11/24 23:27:38.165,-3.582693,59.17523,590.5437,1,0,0,100
197,2019/11/24 23:27:38.181,-4.214646,59.19586,590.3278,1,0,0,100
198,2019/11/24 23:27:38.198,-4.214646,59.19586,590.3278,1,0,0,100
199,2019/11/24 23:27:38.214,-4.214646,59.19586,590.3278,1,0,0,100
200,2019/11/24 23:27:38.231,-4.133636,59.03748,590.3081,1,0,0,100
201,2019/11/24 23:27:38.248,-4.093658,59.02152,590.316,1,0,0,100
202,2019/11/24 23:27:38.264,-4.093658,59.02152,590.316,1,0,0,100
203,2019/11/24 23:27:38.280,-4.093658,59.02152,590.316,1,0,0,100
204,2019/11/24 23:27:38.298,-3.935485,59.3083,590.3911,1,0,0,100
205,2019/11/24 23:27:38.314,-3.92639,59.7217,590.3123,1,0,0,100
206,2019/11/24 23:27:38.331,-3.92639,59.7217,590.3123,1,0,0,100
207,2019/11/24 23:27:38.347,-3.884128,59.94275,590.3959,1,0,0,100
208,2019/11/24 23:27:38.364,-3.884128,59.94275,590.3959,1,0,0,100
209,2019/11/24 23:27:38.381,-3.365897,59.8813,590.4435,1,0,0,100
210,2019/11/24 23:27:38.398,-3.365897,59.8813,590.4435,1,0,0,100
211,2019/11/24 23:27:38.414,-2.969338,59.37559,590.4402,1,0,0,100
212,2019/11/24 23:27:38.431,-2.969338,59.37559,590.4402,1,0,0,100
213,2019/11/24 23:27:38.447,-2.843248,59.47893,590.804,1,0,0,100
214,2019/11/24 23:27:38.462,-2.843248,59.47893,590.804,1,0,0,100
215,2019/11/24 23:27:38.479,-2.843248,59.47893,590.804,1,0,0,100
216,2019/11/24 23:27:38.495,-2.663883,59.75433,590.8266,1,0,0,100
217,2019/11/24 23:27:38.513,-2.663883,59.75433,590.8266,1,0,0,100
218,2019/11/24 23:27:38.529,-2.930022,59.79163,590.6815,1,0,0,100
219,2019/11/24 23:27:38.547,-2.930022,59.79163,590.6815,1,0,0,100
220,2019/11/24 23:27:38.562,-2.699091,58.87185,590.9669,1,0,0,100
221,2019/11/24 23:27:38.579,-2.699091,58.87185,590.9669,1,0,0,100
222,2019/11/24 23:27:38.595,-2.134223,57.89502,591.1987,1,0,0,100
223,2019/11/24 23:27:38.613,-2.216071,57.40892,591.1265,1,0,0,100
224,2019/11/24 23:27:38.629,-2.216071,57.40892,591.1265,1,0,0,100
225,2019/11/24 23:27:38.645,-2.216071,57.40892,591.1265,1,0,0,100
226,2019/11/24 23:27:38.663,-2.372317,57.37085,591.2191,1,0,0,100
227,2019/11/24 23:27:38.678,-2.208875,57.33975,591.2487,1,0,0,100
228,2019/11/24 23:27:38.695,-2.208875,57.33975,591.2487,1,0,0,100
229,2019/11/24 23:27:38.712,-2.208875,57.33975,591.2487,1,0,0,100
230,2019/11/24 23:27:38.728,-1.957685,57.02825,591.2383,1,0,0,100
231,2019/11/24 23:27:38.745,-1.705269,56.78567,591.2159,1,0,0,100
232,2019/11/24 23:27:38.762,-1.705269,56.78567,591.2159,1,0,0,100
233,2019/11/24 23:27:38.779,-1.805332,56.99352,591.1717,1,0,0,100
234,2019/11/24 23:27:38.794,-1.805332,56.99352,591.1717,1,0,0,100
235,2019/11/24 23:27:38.811,-1.63284,56.6022,591.2321,1,0,0,100
236,2019/11/24 23:27:38.828,-1.63284,56.6022,591.2321,1,0,0,100
237,2019/11/24 23:27:38.844,-1.378738,55.7989,591.1979,1,0,0,100
238,2019/11/24 23:27:38.860,-1.378738,55.7989,591.1979,1,0,0,100
239,2019/11/24 23:27:38.877,-1.252721,55.47844,591.2177,1,0,0,100
240,2019/11/24 23:27:38.893,-1.252721,55.47844,591.2177,1,0,0,100
241,2019/11/24 23:27:38.911,-1.123553,55.39173,591.2551,1,0,0,100
242,2019/11/24 23:27:38.927,-1.123553,55.39173,591.2551,1,0,0,100
243,2019/11/24 23:27:38.943,-1.123553,55.39173,591.2551,1,0,0,100
244,2019/11/24 23:27:38.960,-0.7758029,55.06224,591.2659,1,0,0,100
245,2019/11/24 23:27:38.976,-0.7758029,55.06224,591.2659,1,0,0,100
246,2019/11/24 23:27:38.993,-0.618307,54.46211,591.34,1,0,0,100
247,2019/11/24 23:27:39.11,-0.8104906,54.10663,591.2801,1,0,0,100
248,2019/11/24 23:27:39.26,-0.8104906,54.10663,591.2801,1,0,0,100
249,2019/11/24 23:27:39.43,-0.8104906,54.10663,591.2801,1,0,0,100
250,2019/11/24 23:27:39.60,-0.8543031,53.82275,591.115,1,0,0,100
251,2019/11/24 23:27:39.76,-0.8543031,53.82275,591.115,1,0,0,100
252,2019/11/24 23:27:39.93,-1.060402,53.59093,590.9609,1,0,0,100
253,2019/11/24 23:27:39.109,-1.060402,53.59093,590.9609,1,0,0,100
254,2019/11/24 23:27:39.127,-1.241778,53.5219,590.6414,1,0,0,100
255,2019/11/24 23:27:39.144,-1.122509,52.92451,590.6644,1,0,0,100
256,2019/11/24 23:27:39.161,-1.122509,52.92451,590.6644,1,0,0,100
257,2019/11/24 23:27:39.176,-1.122509,52.92451,590.6644,1,0,0,100
258,2019/11/24 23:27:39.193,-1.14704,52.11246,590.7653,1,0,0,100
259,2019/11/24 23:27:39.209,-1.901921,52.40723,590.6632,1,0,0,100
260,2019/11/24 23:27:39.226,-1.901921,52.40723,590.6632,1,0,0,100
261,2019/11/24 23:27:39.243,-2.066651,52.56871,590.4205,1,0,0,100
262,2019/11/24 23:27:39.259,-2.066651,52.56871,590.4205,1,0,0,100
263,2019/11/24 23:27:39.276,-2.308422,52.41194,590.3798,1,0,0,100
264,2019/11/24 23:27:39.292,-2.308422,52.41194,590.3798,1,0,0,100
265,2019/11/24 23:27:39.309,-2.28668,52.29881,590.1575,1,0,0,100
266,2019/11/24 23:27:39.326,-2.28668,52.29881,590.1575,1,0,0,100
267,2019/11/24 23:27:39.342,-1.602154,51.96135,590.4106,1,0,0,100
268,2019/11/24 23:27:39.359,-1.602154,51.96135,590.4106,1,0,0,100
269,2019/11/24 23:27:39.375,-1.602154,51.96135,590.4106,1,0,0,100
270,2019/11/24 23:27:39.392,-1.196138,52.12371,590.2816,1,0,0,100
271,2019/11/24 23:27:39.408,-0.7166018,52.13421,590.4388,1,0,0,100
272,2019/11/24 23:27:39.425,-0.7166018,52.13421,590.4388,1,0,0,100
273,2019/11/24 23:27:39.442,-0.7166018,52.13421,590.4388,1,0,0,100
274,2019/11/24 23:27:39.458,-0.1364841,51.74518,590.3507,1,0,0,100
275,2019/11/24 23:27:39.475,-0.1364841,51.74518,590.3507,1,0,0,100
276,2019/11/24 23:27:39.492,0.1866639,51.0696,590.5276,1,0,0,100
277,2019/11/24 23:27:39.508,0.1866639,51.0696,590.5276,1,0,0,100
