count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
248,2019/11/20 14:14:53.898,-8.88358,79.40541,601.0313,1,0
249,2019/11/20 14:14:53.941,-8.901933,79.54481,601.1437,1,0
250,2019/11/20 14:14:53.977,-9.108873,80.09122,601.0717,1,0
251,2019/11/20 14:14:54.19,-9.240252,80.83184,600.7054,1,0
252,2019/11/20 14:14:54.56,-9.371567,81.37923,600.4142,1,0
253,2019/11/20 14:14:54.89,-9.393608,81.716,600.3265,1,0
254,2019/11/20 14:14:54.146,-9.361216,81.93048,599.9614,1,0
255,2019/11/20 14:14:54.180,-9.411049,82.15154,599.9551,1,0
256,2019/11/20 14:14:54.217,-9.525097,82.3307,599.9923,1,0
257,2019/11/20 14:14:54.267,-9.743435,82.44054,600.1295,1,0
258,2019/11/20 14:14:54.306,-9.819295,82.39577,600.1178,1,0
259,2019/11/20 14:14:54.352,-9.830581,82.3168,600.2769,1,0
260,2019/11/20 14:14:54.397,-9.810954,82.21619,600.2571,1,0
261,2019/11/20 14:14:54.429,-9.520738,82.01267,600.3988,1,0
262,2019/11/20 14:14:54.466,-9.337895,81.90002,600.466,1,0
263,2019/11/20 14:14:54.509,-9.236183,81.81042,600.6894,1,0
264,2019/11/20 14:14:54.557,-9.161546,81.74452,600.8657,1,0
265,2019/11/20 14:14:54.588,-9.131618,81.74326,601.1586,1,0
266,2019/11/20 14:14:54.635,-9.200067,81.7921,601.1625,1,0
267,2019/11/20 14:14:54.667,-9.372942,81.8097,601.2769,1,0
268,2019/11/20 14:14:54.703,-9.401982,81.77533,601.4295,1,0
269,2019/11/20 14:14:54.745,-9.349718,81.68768,601.259,1,0
270,2019/11/20 14:14:54.787,-9.289975,81.51611,601.2482,1,0
271,2019/11/20 14:14:54.816,-9.35741,81.25111,601.2611,1,0
272,2019/11/20 14:14:54.864,-9.369389,81.17112,601.285,1,0
273,2019/11/20 14:14:54.897,-9.408839,81.18987,601.2043,1,0
274,2019/11/20 14:14:54.931,-9.427513,81.26935,601.1405,1,0
275,2019/11/20 14:14:54.952,-9.427513,81.26935,601.1405,1,0
276,2019/11/20 14:14:55.4,-9.507771,81.60548,601.4841,1,0
277,2019/11/20 14:14:55.40,-9.501533,81.87745,601.6487,1,0
278,2019/11/20 14:14:55.74,-9.495245,82.12268,601.6265,1,0
279,2019/11/20 14:14:55.119,-9.523578,82.32634,601.7358,1,0
280,2019/11/20 14:14:55.150,-9.649846,82.52899,601.9704,1,0
281,2019/11/20 14:14:55.188,-9.689819,82.42673,601.7301,1,0
282,2019/11/20 14:14:55.236,-9.672447,82.26273,601.7991,1,0
283,2019/11/20 14:14:55.273,-9.524929,82.01093,601.7804,1,0
284,2019/11/20 14:14:55.303,-9.352472,81.73433,601.8673,1,0
285,2019/11/20 14:14:55.352,-9.057589,81.13549,601.7457,1,0
286,2019/11/20 14:14:55.382,-9.01655,81.05048,601.7724,1,0
